"id_node"	"label"	"continent"	"long"	"lat"	"GDP95"	"GDPgrowth"	"Popul95"	"Popugrowth"
1	Algeria	1.0	2.0	28.0	1209.0	1.6	28058.0	2.36
2	Argentina	6.0	-58.38333333333333	-34.6	8042.0	6.1	34768.0	1.33
3	Australia	5.0	149.1245	-35.308	20333.0	3.3	17946.0	1.22
4	Austria	3.0	16.35	48.2	28942.0	2.0	8001.0	0.75
6	Bangladesh	2.0	90.35	23.7	272.0	4.9	118616.0	1.61
5	Barbados	6.0	-59.55	13.166666666666666	7053.0	1.0	264.0	0.55
7	Belgium, Lux.	3.0	4.35	50.85	27129.0	1.5	10495.0	0.27
8	Belize	4.0	-88.7	17.066666666666666	2753.0	3.9	213.0	2.59
9	Bolivia	6.0	-64.666	-16.712	885.0	3.9	7414.0	2.41
10	Brazil	6.0	-47.95	-15.75	4501.0	2.9	159346.0	1.49
11	Canada	4.0	-75.66666666666667	45.4	19362.0	1.8	29617.0	1.27
12	Chile	6.0	-70.66666666666667	-33.43333333333333	4589.0	8.3	14210.0	1.63
13	China	2.0	103.0	35.0	584.0	11.2	1220516.0	1.1
14	Colombia	6.0	-74.06666666666666	4.583333333333333	2089.0	4.0	38542.0	1.95
15	Croatia	3.0	16.0	45.8	4187.0	-2.8	4493.0	-0.11
16	Cyprus	3.0	33.36666666666667	35.166666666666664	11818.0	3.7	744.0	1.78
17	Czech Rep.	3.0	14.466666666666667	50.083333333333336	4922.0	-1.3	10325.0	0.04
18	Denmark	3.0	10.0	56.0	33121.0	2.2	5225.0	0.33
19	Ecuador	6.0	-78.35	-0.15	1565.0	3.2	11460.0	2.2
20	Egypt	1.0	30.0	26.0	970.0	4.0	62282.0	2.01
21	El Salvador	4.0	-89.16666666666667	13.666666666666666	1675.0	5.3	5669.0	2.07
22	Fiji	5.0	179.0	-18.0	2604.0	1.2	768.0	1.11
23	Finland	3.0	26.0	64.0	24653.0	0.9	5108.0	1.11
24	France	3.0	2.0	47.0	26458.0	1.3	58020.0	0.45
25	French Guiana	6.0	2.3330555555555557	48.86666666666667	11415.0	3.9	147.0	4.53
26	Germany	3.0	13.383333333333333	52.516666666666666	29419.0	2.2	81661.0	0.57
27	Greece	3.0	22.0	39.0	10900.0	1.7	10489.0	0.52
28	Guadeloupe	6.0	-61.75	12.05	9204.0	0.2	424.0	1.65
